class_idx,wnid,label,method,target_k,cluster_id
87,n01817953,african grey parrot,clip_kmeans,100,94
88,n01818515,macaw,clip_kmeans,100,94
89,n01819313,sulphur-crested cockatoo,clip_kmeans,100,72
90,n01820546,lorikeet,clip_kmeans,100,57
91,n01824575,coucal,clip_kmeans,100,69
92,n01828970,bee eater,clip_kmeans,100,4
93,n01829413,hornbill,clip_kmeans,100,94
94,n01833805,hummingbird,clip_kmeans,100,4
95,n01843065,jacamar,clip_kmeans,100,73
96,n01843383,toucan,clip_kmeans,100,94
97,n01847000,duck,clip_kmeans,100,35
98,n01855032,red-breasted merganser,clip_kmeans,100,72
99,n01855672,goose,clip_kmeans,100,35
100,n01860187,black swan,clip_kmeans,100,94
101,n01871265,tusker,clip_kmeans,100,28
102,n01872401,echidna,clip_kmeans,100,14
103,n01873310,platypus,clip_kmeans,100,14
104,n01877812,wallaby,clip_kmeans,100,14
105,n01882714,koala,clip_kmeans,100,14
106,n01883070,wombat,clip_kmeans,100,14
107,n01910747,jellyfish,clip_kmeans,100,86
108,n01914609,sea anemone,clip_kmeans,100,86
109,n01917289,brain coral,clip_kmeans,100,86
110,n01924916,flatworm,clip_kmeans,100,59
111,n01930112,nematode,clip_kmeans,100,30
112,n01943899,conch,clip_kmeans,100,75
113,n01944390,snail,clip_kmeans,100,30
114,n01945685,slug,clip_kmeans,100,30
115,n01950731,sea slug,clip_kmeans,100,59
116,n01955084,chiton,clip_kmeans,100,56
117,n01968897,chambered nautilus,clip_kmeans,100,86
118,n01978287,Dungeness crab,clip_kmeans,100,44
119,n01978455,rock crab,clip_kmeans,100,44
120,n01980166,fiddler crab,clip_kmeans,100,44
121,n01981276,red king crab,clip_kmeans,100,44
122,n01983481,American lobster,clip_kmeans,100,44
123,n01984695,spiny lobster,clip_kmeans,100,44
124,n01985128,crayfish,clip_kmeans,100,44
125,n01986214,hermit crab,clip_kmeans,100,44
126,n01990800,isopod,clip_kmeans,100,44
127,n02002556,white stork,clip_kmeans,100,93
128,n02002724,black stork,clip_kmeans,100,93
129,n02006656,spoonbill,clip_kmeans,100,94
130,n02007558,flamingo,clip_kmeans,100,94
131,n02009229,little blue heron,clip_kmeans,100,99
132,n02009912,great egret,clip_kmeans,100,93
133,n02011460,bittern bird,clip_kmeans,100,72
134,n02012849,crane bird,clip_kmeans,100,94
135,n02013706,limpkin,clip_kmeans,100,72
136,n02017213,common gallinule,clip_kmeans,100,69
137,n02018207,American coot,clip_kmeans,100,17
138,n02018795,bustard,clip_kmeans,100,93
139,n02025239,ruddy turnstone,clip_kmeans,100,34
140,n02027492,dunlin,clip_kmeans,100,34
141,n02028035,common redshank,clip_kmeans,100,34
142,n02033041,dowitcher,clip_kmeans,100,34
143,n02037110,oystercatcher,clip_kmeans,100,34
144,n02051845,pelican,clip_kmeans,100,94
145,n02056570,king penguin,clip_kmeans,100,86
146,n02058221,albatross,clip_kmeans,100,94
147,n02066245,grey whale,clip_kmeans,100,86
148,n02071294,killer whale,clip_kmeans,100,86
149,n02074367,dugong,clip_kmeans,100,14
150,n02077923,sea lion,clip_kmeans,100,86
151,n02085620,Chihuahua,clip_kmeans,100,65
152,n02085782,Japanese Chin,clip_kmeans,100,50
153,n02085936,Maltese,clip_kmeans,100,65
154,n02086079,Pekingese,clip_kmeans,100,29
155,n02086240,Shih Tzu,clip_kmeans,100,29
156,n02086646,King Charles Spaniel,clip_kmeans,100,26
157,n02086910,Papillon,clip_kmeans,100,65
158,n02087046,toy terrier,clip_kmeans,100,40
159,n02087394,Rhodesian Ridgeback,clip_kmeans,100,91
160,n02088094,Afghan Hound,clip_kmeans,100,3
161,n02088238,Basset Hound,clip_kmeans,100,3
162,n02088364,Beagle,clip_kmeans,100,25
163,n02088466,Bloodhound,clip_kmeans,100,11
164,n02088632,Bluetick Coonhound,clip_kmeans,100,20
165,n02089078,Black and Tan Coonhound,clip_kmeans,100,11
166,n02089867,Treeing Walker Coonhound,clip_kmeans,100,20
167,n02089973,English foxhound,clip_kmeans,100,20
168,n02090379,Redbone Coonhound,clip_kmeans,100,91
169,n02090622,borzoi,clip_kmeans,100,3
170,n02090721,Irish Wolfhound,clip_kmeans,100,10
171,n02091032,Italian Greyhound,clip_kmeans,100,99
172,n02091134,Whippet,clip_kmeans,100,99
173,n02091244,Ibizan Hound,clip_kmeans,100,99
174,n02091467,Norwegian Elkhound,clip_kmeans,100,10
175,n02091635,Otterhound,clip_kmeans,100,10
176,n02091831,Saluki,clip_kmeans,100,3
177,n02092002,Scottish Deerhound,clip_kmeans,100,10
178,n02092339,Weimaraner,clip_kmeans,100,91
179,n02093256,Staffordshire Bull Terrier,clip_kmeans,100,50
180,n02093428,American Staffordshire Terrier,clip_kmeans,100,50
181,n02093647,Bedlington Terrier,clip_kmeans,100,24
182,n02093754,Border Terrier,clip_kmeans,100,40
183,n02093859,Kerry Blue Terrier,clip_kmeans,100,24
184,n02093991,Irish Terrier,clip_kmeans,100,22
185,n02094114,Norfolk Terrier,clip_kmeans,100,40
186,n02094258,Norwich Terrier,clip_kmeans,100,40
187,n02094433,Yorkshire Terrier,clip_kmeans,100,40
188,n02095314,Wire Fox Terrier,clip_kmeans,100,18
189,n02095570,Lakeland Terrier,clip_kmeans,100,18
190,n02095889,Sealyham Terrier,clip_kmeans,100,18
191,n02096051,Airedale Terrier,clip_kmeans,100,24
192,n02096177,Cairn Terrier,clip_kmeans,100,40
193,n02096294,Australian Terrier,clip_kmeans,100,40
194,n02096437,Dandie Dinmont Terrier,clip_kmeans,100,29
195,n02096585,Boston Terrier,clip_kmeans,100,50
196,n02097047,Miniature Schnauzer,clip_kmeans,100,22
197,n02097130,Giant Schnauzer,clip_kmeans,100,22
198,n02097209,Standard Schnauzer,clip_kmeans,100,22
199,n02097298,Scottish Terrier,clip_kmeans,100,22
200,n02097474,Tibetan Terrier,clip_kmeans,100,29
201,n02097658,Australian Silky Terrier,clip_kmeans,100,40
202,n02098105,Soft-coated Wheaten Terrier,clip_kmeans,100,18
203,n02098286,West Highland White Terrier,clip_kmeans,100,18
204,n02098413,Lhasa Apso,clip_kmeans,100,29
205,n02099267,Flat-Coated Retriever,clip_kmeans,100,21
206,n02099429,Curly-coated Retriever,clip_kmeans,100,21
207,n02099601,Golden Retriever,clip_kmeans,100,65
208,n02099712,Labrador Retriever,clip_kmeans,100,25
209,n02099849,Chesapeake Bay Retriever,clip_kmeans,100,21
210,n02100236,German Shorthaired Pointer,clip_kmeans,100,26
211,n02100583,Vizsla,clip_kmeans,100,91
212,n02100735,English Setter,clip_kmeans,100,26
213,n02100877,Irish Setter,clip_kmeans,100,3
214,n02101006,Gordon Setter,clip_kmeans,100,97
215,n02101388,Brittany dog,clip_kmeans,100,26
216,n02101556,Clumber Spaniel,clip_kmeans,100,26
217,n02102040,English Springer Spaniel,clip_kmeans,100,26
218,n02102177,Welsh Springer Spaniel,clip_kmeans,100,26
219,n02102318,Cocker Spaniel,clip_kmeans,100,26
220,n02102480,Sussex Spaniel,clip_kmeans,100,26
221,n02102973,Irish Water Spaniel,clip_kmeans,100,21
222,n02104029,Kuvasz,clip_kmeans,100,64
223,n02104365,Schipperke,clip_kmeans,100,22
224,n02105056,Groenendael dog,clip_kmeans,100,22
225,n02105162,Malinois,clip_kmeans,100,10
226,n02105251,Briard,clip_kmeans,100,82
227,n02105412,Australian Kelpie,clip_kmeans,100,11
228,n02105505,Komondor,clip_kmeans,100,24
229,n02105641,Old English Sheepdog,clip_kmeans,100,64
230,n02105855,Shetland Sheepdog,clip_kmeans,100,78
231,n02106030,collie,clip_kmeans,100,25
232,n02106166,Border Collie,clip_kmeans,100,78
233,n02106382,Bouvier des Flandres dog,clip_kmeans,100,22
234,n02106550,Rottweiler,clip_kmeans,100,11
235,n02106662,German Shepherd Dog,clip_kmeans,100,25
236,n02107142,Dobermann,clip_kmeans,100,11
237,n02107312,Miniature Pinscher,clip_kmeans,100,11
238,n02107574,Greater Swiss Mountain Dog,clip_kmeans,100,97
239,n02107683,Bernese Mountain Dog,clip_kmeans,100,97
240,n02107908,Appenzeller Sennenhund,clip_kmeans,100,97
241,n02108000,Entlebucher Sennenhund,clip_kmeans,100,97
242,n02108089,Boxer,clip_kmeans,100,28
243,n02108422,Bullmastiff,clip_kmeans,100,50
244,n02108551,Tibetan Mastiff,clip_kmeans,100,97
245,n02108915,French Bulldog,clip_kmeans,100,50
246,n02109047,Great Dane,clip_kmeans,100,25
247,n02109525,St. Bernard,clip_kmeans,100,97
248,n02109961,husky,clip_kmeans,100,25
249,n02110063,Alaskan Malamute,clip_kmeans,100,25
250,n02110185,Siberian Husky,clip_kmeans,100,25
251,n02110341,Dalmatian,clip_kmeans,100,25
252,n02110627,Affenpinscher,clip_kmeans,100,29
253,n02110806,Basenji,clip_kmeans,100,99
254,n02110958,pug,clip_kmeans,100,65
255,n02111129,Leonberger,clip_kmeans,100,82
256,n02111277,Newfoundland dog,clip_kmeans,100,82
257,n02111500,Great Pyrenees dog,clip_kmeans,100,64
258,n02111889,Samoyed,clip_kmeans,100,25
259,n02112018,Pomeranian,clip_kmeans,100,65
260,n02112137,Chow Chow,clip_kmeans,100,65
261,n02112350,Keeshond,clip_kmeans,100,82
262,n02112706,brussels griffon,clip_kmeans,100,29
263,n02113023,Pembroke Welsh Corgi,clip_kmeans,100,78
264,n02113186,Cardigan Welsh Corgi,clip_kmeans,100,78
265,n02113624,Toy Poodle,clip_kmeans,100,24
266,n02113712,Miniature Poodle,clip_kmeans,100,24
267,n02113799,Standard Poodle,clip_kmeans,100,24
268,n02113978,Mexican hairless dog (xoloitzcuintli),clip_kmeans,100,99
269,n02114367,grey wolf,clip_kmeans,100,70
270,n02114548,Alaskan tundra wolf,clip_kmeans,100,70
271,n02114712,red wolf or maned wolf,clip_kmeans,100,70
272,n02114855,coyote,clip_kmeans,100,70
273,n02115641,dingo,clip_kmeans,100,14
274,n02115913,dhole,clip_kmeans,100,15
275,n02116738,African wild dog,clip_kmeans,100,15
276,n02117135,hyena,clip_kmeans,100,28
277,n02119022,red fox,clip_kmeans,100,70
278,n02119789,kit fox,clip_kmeans,100,70
279,n02120079,Arctic fox,clip_kmeans,100,70
280,n02120505,grey fox,clip_kmeans,100,70
281,n02123045,tabby cat,clip_kmeans,100,28
282,n02123159,tiger cat,clip_kmeans,100,28
283,n02123394,Persian cat,clip_kmeans,100,65
284,n02123597,Siamese cat,clip_kmeans,100,65
285,n02124075,Egyptian Mau,clip_kmeans,100,3
286,n02125311,cougar,clip_kmeans,100,28
287,n02127052,lynx,clip_kmeans,100,28
288,n02128385,leopard,clip_kmeans,100,28
289,n02128757,snow leopard,clip_kmeans,100,28
290,n02128925,jaguar,clip_kmeans,100,28
291,n02129165,lion,clip_kmeans,100,28
292,n02129604,tiger,clip_kmeans,100,28
293,n02130308,cheetah,clip_kmeans,100,28
294,n02132136,brown bear,clip_kmeans,100,68
295,n02133161,American black bear,clip_kmeans,100,68
296,n02134084,polar bear,clip_kmeans,100,68
297,n02134418,sloth bear,clip_kmeans,100,68
298,n02137549,mongoose,clip_kmeans,100,49
299,n02138441,meerkat,clip_kmeans,100,61
300,n02165105,tiger beetle,clip_kmeans,100,36
301,n02165456,ladybug,clip_kmeans,100,4
302,n02167151,ground beetle,clip_kmeans,100,36
303,n02168699,longhorn beetle,clip_kmeans,100,36
304,n02169497,leaf beetle,clip_kmeans,100,36
305,n02172182,dung beetle,clip_kmeans,100,36
306,n02174001,rhinoceros beetle,clip_kmeans,100,36
307,n02177972,weevil,clip_kmeans,100,36
308,n02190166,fly,clip_kmeans,100,4
309,n02206856,bee,clip_kmeans,100,4
310,n02219486,ant,clip_kmeans,100,4
311,n02226429,grasshopper,clip_kmeans,100,4
312,n02229544,cricket insect,clip_kmeans,100,4
313,n02231487,stick insect,clip_kmeans,100,44
314,n02233338,cockroach,clip_kmeans,100,44
315,n02236044,praying mantis,clip_kmeans,100,44
316,n02256656,cicada,clip_kmeans,100,4
317,n02259212,leafhopper,clip_kmeans,100,48
318,n02264363,lacewing,clip_kmeans,100,4
319,n02268443,dragonfly,clip_kmeans,100,4
320,n02268853,damselfly,clip_kmeans,100,4
321,n02276258,red admiral butterfly,clip_kmeans,100,57
322,n02277742,ringlet butterfly,clip_kmeans,100,4
323,n02279972,monarch butterfly,clip_kmeans,100,4
324,n02280649,small white butterfly,clip_kmeans,100,4
325,n02281406,sulphur butterfly,clip_kmeans,100,52
326,n02281787,gossamer-winged butterfly,clip_kmeans,100,4
327,n02317335,starfish,clip_kmeans,100,23
328,n02319095,sea urchin,clip_kmeans,100,23
329,n02321529,sea cucumber,clip_kmeans,100,59
330,n02325366,cottontail rabbit,clip_kmeans,100,69
331,n02326432,hare,clip_kmeans,100,35
332,n02328150,Angora rabbit,clip_kmeans,100,18
333,n02342885,hamster,clip_kmeans,100,61
334,n02346627,porcupine,clip_kmeans,100,61
335,n02356798,fox squirrel,clip_kmeans,100,49
336,n02361337,marmot,clip_kmeans,100,49
337,n02363005,beaver,clip_kmeans,100,61
338,n02364673,guinea pig,clip_kmeans,100,61
339,n02389026,common sorrel horse,clip_kmeans,100,70
340,n02391049,zebra,clip_kmeans,100,28
341,n02395406,pig,clip_kmeans,100,35
342,n02396427,wild boar,clip_kmeans,100,61
343,n02397096,warthog,clip_kmeans,100,14
344,n02398521,hippopotamus,clip_kmeans,100,14
345,n02403003,ox,clip_kmeans,100,38
346,n02408429,water buffalo,clip_kmeans,100,38
347,n02410509,bison,clip_kmeans,100,38
348,n02412080,ram (adult male sheep),clip_kmeans,100,38
349,n02415577,bighorn sheep,clip_kmeans,100,38
350,n02417914,Alpine ibex,clip_kmeans,100,49
351,n02422106,hartebeest,clip_kmeans,100,38
352,n02422699,impala (antelope),clip_kmeans,100,15
353,n02423022,gazelle,clip_kmeans,100,28
354,n02437312,arabian camel,clip_kmeans,100,68
355,n02437616,llama,clip_kmeans,100,35
356,n02441942,weasel,clip_kmeans,100,61
357,n02442845,mink,clip_kmeans,100,61
358,n02443114,European polecat,clip_kmeans,100,49
359,n02443484,black-footed ferret,clip_kmeans,100,49
360,n02444819,otter,clip_kmeans,100,61
361,n02445715,skunk,clip_kmeans,100,61
362,n02447366,badger,clip_kmeans,100,61
363,n02454379,armadillo,clip_kmeans,100,61
364,n02457408,three-toed sloth,clip_kmeans,100,48
365,n02480495,orangutan,clip_kmeans,100,60
366,n02480855,gorilla,clip_kmeans,100,60
367,n02481823,chimpanzee,clip_kmeans,100,60
368,n02483362,gibbon,clip_kmeans,100,0
369,n02483708,siamang,clip_kmeans,100,0
370,n02484975,guenon,clip_kmeans,100,0
371,n02486261,patas monkey,clip_kmeans,100,0
372,n02486410,baboon,clip_kmeans,100,60
373,n02487347,macaque,clip_kmeans,100,60
374,n02488291,langur,clip_kmeans,100,0
375,n02488702,black-and-white colobus,clip_kmeans,100,0
376,n02489166,proboscis monkey,clip_kmeans,100,60
377,n02490219,marmoset,clip_kmeans,100,49
378,n02492035,white-headed capuchin,clip_kmeans,100,0
379,n02492660,howler monkey,clip_kmeans,100,60
380,n02493509,titi monkey,clip_kmeans,100,0
381,n02493793,Geoffroy's spider monkey,clip_kmeans,100,0
382,n02494079,common squirrel monkey,clip_kmeans,100,0
383,n02497673,ring-tailed lemur,clip_kmeans,100,0
384,n02500267,indri,clip_kmeans,100,0
385,n02504013,Asian elephant,clip_kmeans,100,68
386,n02504458,African bush elephant,clip_kmeans,100,68
387,n02509815,red panda,clip_kmeans,100,60
388,n02510455,giant panda,clip_kmeans,100,68
389,n02514041,snoek fish,clip_kmeans,100,88
390,n02526121,eel,clip_kmeans,100,59
391,n02536864,silver salmon,clip_kmeans,100,88
392,n02606052,rock beauty fish,clip_kmeans,100,88
393,n02607072,clownfish,clip_kmeans,100,86
394,n02640242,sturgeon,clip_kmeans,100,88
395,n02641379,gar fish,clip_kmeans,100,88
396,n02643566,lionfish,clip_kmeans,100,86
397,n02655020,pufferfish,clip_kmeans,100,86
398,n02666196,abacus,clip_kmeans,100,43
399,n02667093,abaya,clip_kmeans,100,67
400,n02669723,academic gown,clip_kmeans,100,67
401,n02672831,accordion,clip_kmeans,100,76
402,n02676566,acoustic guitar,clip_kmeans,100,58
403,n02687172,aircraft carrier,clip_kmeans,100,32
404,n02690373,airliner,clip_kmeans,100,32
405,n02692877,airship,clip_kmeans,100,32
406,n02699494,altar,clip_kmeans,100,13
407,n02701002,ambulance,clip_kmeans,100,27
408,n02704792,amphibious vehicle,clip_kmeans,100,63
409,n02708093,analog clock,clip_kmeans,100,43
410,n02727426,apiary,clip_kmeans,100,4
411,n02730930,apron,clip_kmeans,100,37
412,n02747177,trash can,clip_kmeans,100,76
413,n02749479,assault rifle,clip_kmeans,100,53
414,n02769748,backpack,clip_kmeans,100,37
415,n02776631,bakery,clip_kmeans,100,92
416,n02777292,balance beam,clip_kmeans,100,95
417,n02782093,balloon,clip_kmeans,100,37
418,n02783161,ballpoint pen,clip_kmeans,100,8
419,n02786058,Band-Aid,clip_kmeans,100,8
420,n02787622,banjo,clip_kmeans,100,58
421,n02788148,baluster / handrail,clip_kmeans,100,71
422,n02790996,barbell,clip_kmeans,100,33
423,n02791124,barber chair,clip_kmeans,100,19
424,n02791270,barbershop,clip_kmeans,100,92
425,n02793495,barn,clip_kmeans,100,13
426,n02794156,barometer,clip_kmeans,100,43
427,n02795169,barrel,clip_kmeans,100,76
428,n02797295,wheelbarrow,clip_kmeans,100,19
429,n02799071,baseball,clip_kmeans,100,90
430,n02802426,basketball,clip_kmeans,100,90
431,n02804414,bassinet,clip_kmeans,100,54
432,n02804610,bassoon,clip_kmeans,100,45
433,n02807133,swimming cap,clip_kmeans,100,84
434,n02808304,bath towel,clip_kmeans,100,89
435,n02808440,bathtub,clip_kmeans,100,89
436,n02814533,station wagon,clip_kmeans,100,27
437,n02814860,lighthouse,clip_kmeans,100,42
438,n02815834,beaker,clip_kmeans,100,9
439,n02817516,military hat (bearskin or shako),clip_kmeans,100,84
440,n02823428,beer bottle,clip_kmeans,100,62
441,n02823750,beer glass,clip_kmeans,100,51
442,n02825657,bell tower,clip_kmeans,100,13
443,n02834397,baby bib,clip_kmeans,100,54
444,n02835271,tandem bicycle,clip_kmeans,100,19
445,n02837789,bikini,clip_kmeans,100,16
446,n02840245,ring binder,clip_kmeans,100,81
447,n02841315,binoculars,clip_kmeans,100,8
448,n02843684,birdhouse,clip_kmeans,100,13
449,n02859443,boathouse,clip_kmeans,100,55
450,n02860847,bobsleigh,clip_kmeans,100,2
451,n02865351,bolo tie,clip_kmeans,100,39
452,n02869837,poke bonnet,clip_kmeans,100,84
453,n02870880,bookcase,clip_kmeans,100,5
454,n02871525,bookstore,clip_kmeans,100,92
455,n02877765,bottle cap,clip_kmeans,100,62
456,n02879718,hunting bow,clip_kmeans,100,32
457,n02883205,bow tie,clip_kmeans,100,31
458,n02892201,brass memorial plaque,clip_kmeans,100,43
459,n02892767,bra,clip_kmeans,100,16
460,n02894605,breakwater,clip_kmeans,100,55
461,n02895154,breastplate,clip_kmeans,100,85
462,n02906734,broom,clip_kmeans,100,33
463,n02909870,bucket,clip_kmeans,100,76
464,n02910353,buckle,clip_kmeans,100,39
465,n02916936,bulletproof vest,clip_kmeans,100,85
466,n02917067,high-speed train,clip_kmeans,100,32
467,n02927161,butcher shop,clip_kmeans,100,92
468,n02930766,taxicab,clip_kmeans,100,27
469,n02939185,cauldron,clip_kmeans,100,76
470,n02948072,candle,clip_kmeans,100,8
471,n02950826,cannon,clip_kmeans,100,53
472,n02951358,canoe,clip_kmeans,100,63
473,n02951585,can opener,clip_kmeans,100,39
474,n02963159,cardigan,clip_kmeans,100,31
475,n02965783,car mirror,clip_kmeans,100,27
476,n02966193,carousel,clip_kmeans,100,33
477,n02966687,tool kit,clip_kmeans,100,81
478,n02971356,cardboard box / carton,clip_kmeans,100,81
479,n02974003,car wheel,clip_kmeans,100,53
480,n02977058,automated teller machine,clip_kmeans,100,5
481,n02978881,cassette,clip_kmeans,100,66
482,n02979186,cassette player,clip_kmeans,100,66
483,n02980441,castle,clip_kmeans,100,13
484,n02981792,catamaran,clip_kmeans,100,63
485,n02988304,CD player,clip_kmeans,100,66
486,n02992211,cello,clip_kmeans,100,58
487,n02992529,mobile phone,clip_kmeans,100,81
488,n02999410,chain,clip_kmeans,100,39
489,n03000134,chain-link fence,clip_kmeans,100,71
490,n03000247,chain mail,clip_kmeans,100,39
491,n03000684,chainsaw,clip_kmeans,100,53
492,n03014705,storage chest,clip_kmeans,100,81
493,n03016953,chiffonier,clip_kmeans,100,5
494,n03017168,bell or wind chime,clip_kmeans,100,98
495,n03018349,china cabinet,clip_kmeans,100,5
496,n03026506,Christmas stocking,clip_kmeans,100,31
497,n03028079,church,clip_kmeans,100,13
498,n03032252,movie theater,clip_kmeans,100,92
499,n03041632,cleaver,clip_kmeans,100,85
500,n03042490,cliff dwelling,clip_kmeans,100,42
501,n03045698,cloak,clip_kmeans,100,67
502,n03047690,clogs,clip_kmeans,100,31
503,n03062245,cocktail shaker,clip_kmeans,100,80
504,n03063599,coffee mug,clip_kmeans,100,51
505,n03063689,coffeemaker,clip_kmeans,100,51
506,n03065424,spiral or coil,clip_kmeans,100,59
507,n03075370,combination lock,clip_kmeans,100,43
508,n03085013,computer keyboard,clip_kmeans,100,47
509,n03089624,candy store,clip_kmeans,100,92
510,n03095699,container ship,clip_kmeans,100,63
511,n03100240,convertible,clip_kmeans,100,27
512,n03109150,corkscrew,clip_kmeans,100,39
513,n03110669,cornet,clip_kmeans,100,83
514,n03124043,cowboy boot,clip_kmeans,100,31
515,n03124170,cowboy hat,clip_kmeans,100,84
516,n03125729,cradle,clip_kmeans,100,54
517,n03126707,construction crane,clip_kmeans,100,32
518,n03127747,crash helmet,clip_kmeans,100,84
519,n03127925,crate,clip_kmeans,100,81
520,n03131574,infant bed,clip_kmeans,100,54
521,n03133878,Crock Pot,clip_kmeans,100,7
522,n03134739,croquet ball,clip_kmeans,100,90
523,n03141823,crutch,clip_kmeans,100,33
524,n03146219,cuirass,clip_kmeans,100,85
525,n03160309,dam,clip_kmeans,100,42
526,n03179701,desk,clip_kmeans,100,9
527,n03180011,desktop computer,clip_kmeans,100,47
528,n03187595,rotary dial telephone,clip_kmeans,100,43
529,n03188531,diaper,clip_kmeans,100,89
530,n03196217,digital clock,clip_kmeans,100,43
531,n03197337,digital watch,clip_kmeans,100,43
532,n03201208,dining table,clip_kmeans,100,9
533,n03207743,dishcloth,clip_kmeans,100,89
534,n03207941,dishwasher,clip_kmeans,100,7
535,n03208938,disc brake,clip_kmeans,100,53
536,n03216828,dock,clip_kmeans,100,55
537,n03218198,dog sled,clip_kmeans,100,2
538,n03220513,dome,clip_kmeans,100,13
539,n03223299,doormat,clip_kmeans,100,81
540,n03240683,drilling rig,clip_kmeans,100,32
541,n03249569,drum,clip_kmeans,100,76
542,n03250847,drumstick,clip_kmeans,100,33
543,n03255030,dumbbell,clip_kmeans,100,9
544,n03259280,Dutch oven,clip_kmeans,100,76
545,n03271574,electric fan,clip_kmeans,100,98
546,n03272010,electric guitar,clip_kmeans,100,58
547,n03272562,electric locomotive,clip_kmeans,100,32
548,n03290653,entertainment center,clip_kmeans,100,5
549,n03291819,envelope,clip_kmeans,100,81
550,n03297495,espresso machine,clip_kmeans,100,51
551,n03314780,face powder,clip_kmeans,100,8
